region,week,date,abundance,occurrence,supported_area_km2,support_fraction,cells
all,1,2023-01-04,0.0013049,0.0012306,197832.1180612,1.0000000,293
all,2,2023-01-11,0.0014306,0.0013472,197832.1180612,1.0000000,293
all,3,2023-01-18,0.0014466,0.0013663,197832.1180612,1.0000000,293
all,4,2023-01-25,0.0014515,0.0013859,197832.1180612,1.0000000,293
all,5,2023-02-01,0.0014136,0.0013524,197832.1180612,1.0000000,293
all,6,2023-02-08,0.0013338,0.0012841,197832.1180612,1.0000000,293
all,7,2023-02-15,0.0008394,0.0008040,197832.1180612,1.0000000,293
all,8,2023-02-22,0.0002541,0.0002434,197103.1180612,0.9963151,292
all,9,2023-03-01,0.0002850,0.0002699,197832.1180612,1.0000000,293
all,10,2023-03-08,0.0002114,0.0001898,197832.1180612,1.0000000,293
all,11,2023-03-15,0.0000979,0.0000819,197832.1180612,1.0000000,293
all,12,2023-03-22,0.0000265,0.0000207,197832.1180612,1.0000000,293
all,13,2023-03-29,0.0000547,0.0000409,197832.1180612,1.0000000,293
all,14,2023-04-05,0.0788794,0.0557143,197832.1180612,1.0000000,293
all,15,2023-04-12,0.5139360,0.3067878,197832.1180612,1.0000000,293
all,16,2023-04-19,0.6488661,0.3517066,197832.1180612,1.0000000,293
all,17,2023-04-26,0.6030390,0.3244173,197832.1180612,1.0000000,293
all,18,2023-05-03,0.4987570,0.2780270,197832.1180612,1.0000000,293
all,19,2023-05-10,0.4246928,0.2572878,197832.1180612,1.0000000,293
all,20,2023-05-17,0.3861596,0.2437100,197832.1180612,1.0000000,293
all,21,2023-05-24,0.3332805,0.2202395,197832.1180612,1.0000000,293
all,22,2023-05-31,0.2678722,0.1931043,197832.1180612,1.0000000,293
all,23,2023-06-07,0.2339397,0.1741011,197832.1180612,1.0000000,293
all,24,2023-06-14,0.2293459,0.1681167,197832.1180612,1.0000000,293
all,25,2023-06-21,0.2386430,0.1693483,197832.1180612,1.0000000,293
all,26,2023-06-28,0.2583359,0.1739757,197832.1180612,1.0000000,293
all,27,2023-07-05,0.2749902,0.1780570,197832.1180612,1.0000000,293
all,28,2023-07-12,0.2630039,0.1681491,197832.1180612,1.0000000,293
all,29,2023-07-19,0.2267937,0.1454324,197832.1180612,1.0000000,293
all,30,2023-07-26,0.2058182,0.1331409,197832.1180612,1.0000000,293
all,31,2023-08-02,0.1995472,0.1311895,197832.1180612,1.0000000,293
all,32,2023-08-09,0.1795490,0.1222897,197832.1180612,1.0000000,293
all,33,2023-08-16,0.1682647,0.1191456,197832.1180612,1.0000000,293
all,34,2023-08-23,0.1543679,0.1114953,197832.1180612,1.0000000,293
all,35,2023-08-30,0.1502581,0.1105596,197832.1180612,1.0000000,293
all,36,2023-09-06,0.1603628,0.1187858,197832.1180612,1.0000000,293
all,37,2023-09-13,0.1646636,0.1224728,197832.1180612,1.0000000,293
all,38,2023-09-20,0.1789368,0.1329812,197832.1180612,1.0000000,293
all,39,2023-09-27,0.2280127,0.1740990,197832.1180612,1.0000000,293
all,40,2023-10-04,0.2020899,0.1566078,197832.1180612,1.0000000,293
all,41,2023-10-11,0.0359806,0.0285470,197832.1180612,1.0000000,293
all,42,2023-10-18,0.0025057,0.0019541,197832.1180612,1.0000000,293
all,43,2023-10-25,0.0023113,0.0019690,197832.1180612,1.0000000,293
all,44,2023-11-01,0.0029340,0.0025424,197832.1180612,1.0000000,293
all,45,2023-11-08,0.0028958,0.0025492,197832.1180612,1.0000000,293
all,46,2023-11-15,0.0028475,0.0025715,197832.1180612,1.0000000,293
all,47,2023-11-22,0.0022494,0.0020824,197832.1180612,1.0000000,293
all,48,2023-11-29,0.0024525,0.0022906,197832.1180612,1.0000000,293
all,49,2023-12-06,0.0024089,0.0022695,197832.1180612,1.0000000,293
all,50,2023-12-13,0.0027040,0.0025361,197832.1180612,1.0000000,293
all,51,2023-12-20,0.0019658,0.0018445,197832.1180612,1.0000000,293
all,52,2023-12-27,0.0014269,0.0013358,197832.1180612,1.0000000,293
central,1,2023-01-04,0.0000000,0.0000000,46398.7524956,1.0000000,79
central,2,2023-01-11,0.0000000,0.0000000,46398.7524956,1.0000000,79
central,3,2023-01-18,0.0000000,0.0000000,46398.7524956,1.0000000,79
central,4,2023-01-25,0.0000000,0.0000000,46398.7524956,1.0000000,79
central,5,2023-02-01,0.0000000,0.0000000,46398.7524956,1.0000000,79
central,6,2023-02-08,0.0000000,0.0000000,46398.7524956,1.0000000,79
central,7,2023-02-15,0.0000000,0.0000000,46398.7524956,1.0000000,79
central,8,2023-02-22,0.0000000,0.0000000,46073.5429569,0.9929910,78
central,9,2023-03-01,0.0000000,0.0000000,46398.7524956,1.0000000,79
central,10,2023-03-08,0.0000000,0.0000000,46398.7524956,1.0000000,79
central,11,2023-03-15,0.0000000,0.0000000,46398.7524956,1.0000000,79
central,12,2023-03-22,0.0000000,0.0000000,46398.7524956,1.0000000,79
central,13,2023-03-29,0.0000000,0.0000000,46398.7524956,1.0000000,79
central,14,2023-04-05,0.1084517,0.0713869,46398.7524956,1.0000000,79
central,15,2023-04-12,0.6936763,0.3942707,46398.7524956,1.0000000,79
central,16,2023-04-19,0.8148917,0.4354972,46398.7524956,1.0000000,79
central,17,2023-04-26,0.7684379,0.4199329,46398.7524956,1.0000000,79
central,18,2023-05-03,0.6698754,0.3908845,46398.7524956,1.0000000,79
central,19,2023-05-10,0.5575905,0.3660914,46398.7524956,1.0000000,79
central,20,2023-05-17,0.5066631,0.3493822,46398.7524956,1.0000000,79
central,21,2023-05-24,0.4408087,0.3172444,46398.7524956,1.0000000,79
central,22,2023-05-31,0.3610954,0.2699670,46398.7524956,1.0000000,79
central,23,2023-06-07,0.3198527,0.2418494,46398.7524956,1.0000000,79
central,24,2023-06-14,0.3291361,0.2427781,46398.7524956,1.0000000,79
central,25,2023-06-21,0.3621923,0.2562290,46398.7524956,1.0000000,79
central,26,2023-06-28,0.3924062,0.2622536,46398.7524956,1.0000000,79
central,27,2023-07-05,0.4134614,0.2705112,46398.7524956,1.0000000,79
central,28,2023-07-12,0.3908208,0.2549383,46398.7524956,1.0000000,79
central,29,2023-07-19,0.3307770,0.2160038,46398.7524956,1.0000000,79
central,30,2023-07-26,0.3053747,0.2000240,46398.7524956,1.0000000,79
central,31,2023-08-02,0.2952036,0.1928134,46398.7524956,1.0000000,79
central,32,2023-08-09,0.2616098,0.1743196,46398.7524956,1.0000000,79
central,33,2023-08-16,0.2387467,0.1699853,46398.7524956,1.0000000,79
central,34,2023-08-23,0.2202147,0.1611913,46398.7524956,1.0000000,79
central,35,2023-08-30,0.2237646,0.1664975,46398.7524956,1.0000000,79
central,36,2023-09-06,0.2371540,0.1799951,46398.7524956,1.0000000,79
central,37,2023-09-13,0.2567944,0.1953134,46398.7524956,1.0000000,79
central,38,2023-09-20,0.2713747,0.2047711,46398.7524956,1.0000000,79
central,39,2023-09-27,0.2850520,0.2251701,46398.7524956,1.0000000,79
central,40,2023-10-04,0.2149527,0.1720858,46398.7524956,1.0000000,79
central,41,2023-10-11,0.0096421,0.0074640,46398.7524956,1.0000000,79
central,42,2023-10-18,0.0001115,0.0000753,46398.7524956,1.0000000,79
central,43,2023-10-25,0.0000000,0.0000000,46398.7524956,1.0000000,79
central,44,2023-11-01,0.0000000,0.0000000,46398.7524956,1.0000000,79
central,45,2023-11-08,0.0000000,0.0000000,46398.7524956,1.0000000,79
central,46,2023-11-15,0.0000000,0.0000000,46398.7524956,1.0000000,79
central,47,2023-11-22,0.0000000,0.0000000,46398.7524956,1.0000000,79
central,48,2023-11-29,0.0000000,0.0000000,46398.7524956,1.0000000,79
central,49,2023-12-06,0.0000000,0.0000000,46398.7524956,1.0000000,79
central,50,2023-12-13,0.0000000,0.0000000,46398.7524956,1.0000000,79
central,51,2023-12-20,0.0000000,0.0000000,46398.7524956,1.0000000,79
central,52,2023-12-27,0.0000000,0.0000000,46398.7524956,1.0000000,79
north,1,2023-01-04,0.0000000,0.0000000,69227.9069129,1.0000000,110
north,2,2023-01-11,0.0000000,0.0000000,69227.9069129,1.0000000,110
north,3,2023-01-18,0.0000000,0.0000000,69227.9069129,1.0000000,110
north,4,2023-01-25,0.0000000,0.0000000,69227.9069129,1.0000000,110
north,5,2023-02-01,0.0000000,0.0000000,69227.9069129,1.0000000,110
north,6,2023-02-08,0.0000000,0.0000000,69227.9069129,1.0000000,110
north,7,2023-02-15,0.0000000,0.0000000,69227.9069129,1.0000000,110
north,8,2023-02-22,0.0000000,0.0000000,68824.1164516,0.9941672,109
north,9,2023-03-01,0.0000000,0.0000000,69227.9069129,1.0000000,110
